Transferable Skill,Skill Area,Subskill,Strength,Growth
Creative Thinking and Risk Taking,Complex Problem Solving,"Skillful use of resources, tools, & technology","You voluntarily use provided resources (online texts, video analysis, etc.) to problem solve.","Before asking for help, make use of available resources—notes, textbook, video explanations. Try to come to tutorial with a specific question, not just confusion."
Creative Thinking and Risk Taking,Complex Problem Solving,Seeking help when needed,"You can identify when you're stuck and pick a strategy (e.g. asking for help, finding a new source) to help you get unstuck.","When you're stuck, name it explicitly: what specifically don't you know? Then choose a strategy to address that gap rather than dwelling on the frustration."
Creative Thinking and Risk Taking,Complex Problem Solving,Experiencing and growing from failures,You embrace failure as a productive and necessary part of the learning experience; you understand that mistakes and failures are a part of the creative process and your own growth. You value what you learn from your mistakes/failures.,"When something goes wrong on an assignment or project, identify what you can learn from the mistake before moving on."
Critical Thinking,Question Asking,Asking complex or nuanced questions,"You know how to develop a line of inquiry by asking complex, probing questions.",Develop the habit of asking follow-up questions that push further into a topic rather than stopping at surface-level understanding.
Critical Thinking,Research and Sources,Gathering information from diverse sources,"You gather information from a variety of viewpoints and sources (observation, experience, reflection, reasoning).","When researching, deliberately seek out perspectives that differ from your initial view. Note where sources agree and where they diverge."
Critical Thinking,Research and Sources,Identifying and citing reputable sources,You know how to find reputable sources and cite the sources you use.,"Before using a source, evaluate its credibility. Practice citing sources consistently in all work, not just formal assignments."
Critical Thinking,Research and Sources,Can compare multiple sources for accuracy and consensus,You corroborate sources to identify alignment and divergence.,"When two sources say different things, don't just pick the one that fits your argument—look for a third source to help evaluate the conflict."
Critical Thinking,Research and Sources,Appropriate use of technology,"You know when you're allowed to use tools/resources to help you problem solve, and you can identify the appropriate tools/resources to support your process.","Know the ground rules for each class about what resources are and aren't permitted. When in doubt, ask your teacher before using a tool."
Critical Thinking,Analysis,Analysis from multiple perspectives,"You analyze objects, problems, systems, situations and data considering different sources and views.","When analyzing something, practice asking: what other perspective or piece of evidence would change my interpretation?"
Critical Thinking,Analysis,Interpretation and evaluation of information,"You interpret and evaluate information to guide your beliefs, problem-solving, actions or conclusions.","After arriving at a conclusion, ask yourself: what information would lead you to conclude you were wrong? Let that question guide further evaluation."
Critical Thinking,Analysis,Critical Thinking,You strive to use your critical thinking skills with fair-mindedness.,Notice when your conclusions are being shaped by what you want to be true rather than what the evidence supports. Practice intellectual fairness.
Critical Thinking,Synthesis and Application (Meaning Making),Drawing and justifying logical conclusions,You draw and justify logical conclusions.,"When drawing a conclusion, make your reasoning explicit: show the steps that connect your evidence to your claim."
